L1,L2-3,L4,L5,L6,genes
0.00054904,0.00065959,0.00081496,0.00071455,0.00072527,Ngef
7.8711e-05,0.00012273,9.78e-05,0.00012611,0.0001161,Abcf2
4.3007e-07,9.1081e-07,4.1326e-07,6.5366e-07,5.603e-07,Rpl34-ps1
0.00013814,0.00018988,6.5769e-05,0.00013845,0.00013642,Scpep1
0.00011713,9.1594e-05,0.00016073,0.00017424,0.00012369,Chmp1a
0.00012684,0.00014362,0.00018193,0.00013969,0.00013867,Cox5a
0.0001948,0.0001507,0.00026709,0.00027828,0.0002252,Rab10
0.00011368,0.00015525,0.00015611,0.0001948,0.00014836,Rab24
0.00010043,0.00011272,0.00012291,0.00013789,9.1893e-05,Cox7b
0.0005716,0.00061536,0.00079827,0.0007969,0.00066315,Rab31
5.5341e-05,6.5459e-05,7.1411e-05,6.5824e-05,3.6899e-05,Rab3a
4.787e-05,0.00010518,8.566e-05,7.5402e-05,8.613e-05,Mrpl3
5.235e-05,6.4524e-05,5.8181e-05,3.7717e-05,4.8455e-05,Map3k1
6.7504e-05,0.00010015,6.7417e-05,7.8739e-05,4.8924e-05,Rab4a
6.3168e-05,7.2015e-05,7.2051e-05,5.44e-05,8.106e-05,Rab5b
4.912e-05,7.2781e-05,4.9501e-05,6.7842e-05,4.2794e-05,Zhx1
0.00017157,0.00025518,0.00018872,0.00014013,0.00017717,Dscr3
4.9825e-05,5.6197e-05,7.7631e-05,5.8911e-05,5.8483e-05,Mrps5
0.00016882,0.00016404,0.00023841,0.00015187,0.0001696,Clip3
0.0078294,0.0089239,0.0084371,0.0083367,0.0074665,Htra1
0.00010842,0.00011425,3.0063e-05,7.5825e-05,0.00012749,Lama2
0.00011283,0.00012025,0.00010597,0.00017266,8.1544e-05,Aldh1a1
5.9559e-05,4.0584e-05,5.9557e-05,0.00010177,7.2145e-05,Prelid1
7.9524e-05,0.00011229,8.352e-05,0.00011645,9.3742e-05,Dctn3
9.6981e-05,0.00014339,0.00016073,8.6618e-05,8.4106e-05,Smc3
5.5021e-05,0.00010963,6.2421e-05,6.3246e-05,6.4273e-05,Smg1
6.0389e-07,5.3041e-07,1.2413e-06,1.5367e-06,8.2875e-07,Gm10704
0.00023147,0.00032107,0.00031794,0.00029893,0.00029187,Grn
0.00018841,0.00016627,0.00013733,0.00021108,0.00011395,Tbc1d19
0.00035784,0.00044195,0.00054336,0.00032825,0.00041718,Smox
